version,best_mismatch_epoch,mismatch_vs_fp32,agreement_vs_fp32,pixel_accuracy_at_best_mismatch,mean_iou_at_best_mismatch,clear_iou_at_best_mismatch,thick_cloud_iou_at_best_mismatch,thin_cloud_iou_at_best_mismatch,cloud_shadow_iou_at_best_mismatch,best_iou_epoch,best_mean_iou,mismatch_at_best_iou,soft_teacher,hard_teacher,ground_truth,learning_rate,epochs,result_file
v9,6,0.16901092529296874,0.8309890747070312,0.7957666015625,0.6203992364718852,0.7402824476608264,0.7457253010892265,0.3601510143877256,0.6354381827497622,6,0.6203992364718852,0.16901092529296874,0.65,0.3,0.05,1e-8,8,C:\Users\User\cloudsen12_pure_c\qat\results\qat_int8_v9_training.json
v7,5,0.169381103515625,0.830618896484375,0.7965395355224609,0.6198446713302708,0.7407571665764283,0.7414343814984072,0.36890398917118433,0.6282831480750632,5,0.6198446713302708,0.169381103515625,0.75,0.2,0.05,1e-7,6,C:\Users\User\cloudsen12_pure_c\qat\results\qat_int8_v7_training.json
v8,1,0.17060012817382814,0.8293998718261719,0.7953479766845704,0.6192012194914471,0.7403005503265649,0.7453089997623211,0.36025067752409917,0.6309446503528034,5,0.6198280405578145,0.17169242858886719,0.55,0.4,0.05,2e-8,6,C:\Users\User\cloudsen12_pure_c\qat\results\qat_int8_v8_training.json
v4,5,0.17104652404785156,0.8289534759521484,0.7947743225097657,0.6182587015467338,0.7399402161103512,0.7458975804812704,0.35719849553780075,0.6299985140575127,3,0.6189571059949508,0.17145217895507814,,,,,,C:\Users\User\cloudsen12_pure_c\qat\results\qat_int8_v4_training.json
v5,3,0.1714397430419922,0.8285602569580078,0.7949187469482422,0.6185398125742427,0.7392158216420419,0.7468593996921984,0.35570631674561104,0.6323777122171196,3,0.6185398125742427,0.1714397430419922,0.7,0.25,0.05,3e-8,6,C:\Users\User\cloudsen12_pure_c\qat\results\qat_int8_v5_training.json
v6,1,0.171490478515625,0.828509521484375,0.7948081970214844,0.6173003489622324,0.7393981826480521,0.7457947565114048,0.35609608880588506,0.6279123678835878,1,0.6173003489622324,0.171490478515625,0.5,0.45,0.05,5e-8,6,C:\Users\User\cloudsen12_pure_c\qat\results\qat_int8_v6_training.json
