version,best_mismatch_epoch,mismatch_vs_fp32,agreement_vs_fp32,pixel_accuracy,mean_iou,clear_iou,thick_cloud_iou,thin_cloud_iou,cloud_shadow_iou,best_iou_epoch,best_mean_iou,checkpoint,checkpoint_exists,result_file
v28,6,0.16898582458496095,0.8310141754150391,0.7909745025634766,0.6137321914614478,0.7338607690901774,0.7425143968786845,0.3613024443527723,0.6172511555241567,1,0.615512293847065,qat\checkpoints\qat_int8_v28_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v28_training.json
v9,6,0.16901092529296874,0.8309890747070312,0.7957666015625,0.6203992364718852,0.7402824476608264,0.7457253010892265,0.3601510143877256,0.6354381827497622,6,0.6203992364718852,qat\checkpoints\qat_int8_v9_best.pth,True,qat\results\qat_int8_v9_training.json
v7,5,0.169381103515625,0.830618896484375,0.7965395355224609,0.6198446713302708,0.7407571665764283,0.7414343814984072,0.36890398917118433,0.6282831480750632,5,0.6198446713302708,qat\checkpoints\qat_int8_v7_best.pth,True,qat\results\qat_int8_v7_training.json
v16,6,0.1694396209716797,0.8305603790283203,0.7966987609863281,0.620517118798254,0.7433013942670089,0.74277370478212,0.3607207764018571,0.6352725997420298,6,0.620517118798254,qat\checkpoints\qat_int8_v16_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v16_training.json
v20,7,0.17020034790039062,0.8297996520996094,0.7945515441894532,0.6176992340966443,0.7387994528118258,0.7440041651977826,0.36069448666920384,0.6272988317077648,7,0.6176992340966443,qat\checkpoints\qat_int8_v20_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v20_training.json
v24,3,0.17049552917480468,0.8295044708251953,0.7952947998046875,0.6195466443308477,0.7390915778281292,0.7473768702479766,0.3593676373056615,0.6323504919416234,3,0.6195466443308477,qat\checkpoints\qat_int8_v24_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v24_training.json
v8,1,0.17060012817382814,0.8293998718261719,0.7953479766845704,0.6192012194914471,0.7403005503265649,0.7453089997623211,0.36025067752409917,0.6309446503528034,5,0.6198280405578145,qat\checkpoints\qat_int8_v8_best.pth,True,qat\results\qat_int8_v8_training.json
v10,7,0.17074836730957033,0.8292516326904297,0.7953025817871093,0.6180761163442753,0.7395359769260008,0.7469623469226871,0.35913750794935057,0.6266686335790624,1,0.6201471906334787,qat\checkpoints\qat_int8_v10_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v10_training.json
v12,7,0.17092521667480468,0.8290747833251954,0.7949774932861328,0.6180556409462858,0.7391828239229289,0.7468228141880566,0.3590870353497704,0.6271298903243875,1,0.6201706604934645,qat\checkpoints\qat_int8_v12_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v12_training.json
v4,5,0.17104652404785156,0.8289534759521484,0.7947743225097657,0.6182587015467338,0.7399402161103512,0.7458975804812704,0.35719849553780075,0.6299985140575127,3,0.6189571059949508,qat\checkpoints\qat_int8_v4_best.pth,True,qat\results\qat_int8_v4_training.json
v11,7,0.17131935119628905,0.828680648803711,0.7947077178955078,0.6175729337001853,0.7389464078839365,0.7463903165983008,0.35912161303734125,0.6258333972811627,1,0.6201529733375867,qat\checkpoints\qat_int8_v11_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v11_training.json
v15,2,0.1713201904296875,0.8286798095703125,0.7953339385986328,0.6185846096730464,0.739728250090827,0.7467806000060816,0.36189471743339174,0.6259348711618852,2,0.6185846096730464,qat\checkpoints\qat_int8_v15_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v15_training.json
v27,1,0.17139907836914062,0.8286009216308594,0.7967283630371094,0.6199960012667644,0.7419332966652672,0.7468061735850959,0.3586710390583271,0.6325734957583671,1,0.6199960012667644,qat\checkpoints\qat_int8_v27_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v27_training.json
v5,3,0.1714397430419922,0.8285602569580078,0.7949187469482422,0.6185398125742427,0.7392158216420419,0.7468593996921984,0.35570631674561104,0.6323777122171196,3,0.6185398125742427,qat\checkpoints\qat_int8_v5_best.pth,True,qat\results\qat_int8_v5_training.json
v6,1,0.171490478515625,0.828509521484375,0.7948081970214844,0.6173003489622324,0.7393981826480521,0.7457947565114048,0.35609608880588506,0.6279123678835878,1,0.6173003489622324,qat\checkpoints\qat_int8_v6_best.pth,True,qat\results\qat_int8_v6_training.json
